,9/4/09,,,,,
,Date,Venue,Event,City,Day,Category
0,4-Sep-09,11th Frame Bar,Karaoke,Madison,Friday,Karaoke
7,11-Sep-09,11th Frame Bar,Karaoke,Madison,Friday,Karaoke
14,18-Sep-09,11th Frame Bar,Karaoke,Madison,Friday,Karaoke
21,25-Sep-09,11th Frame Bar,Karaoke,Madison,Friday,Karaoke
0,4-Sep-09,3rd Base Grill,Danny Cox,Huntsville,Thursday,
5,9-Sep-09,3rd Base Grill,David Anderson 9 p.m.-1 a.m.,Huntsville,Wednesday,Live Music
6,10-Sep-09,3rd Base Grill,Danny Cox,Huntsville,Thursday,
12,16-Sep-09,3rd Base Grill,David Anderson 9 p.m.-1 a.m.,Huntsville,Wednesday,Live Music
13,17-Sep-09,3rd Base Grill,Danny Cox,Huntsville,Thursday,
19,23-Sep-09,3rd Base Grill,David Anderson 9 p.m.-1 a.m.,Huntsville,Wednesday,Live Music
20,24-Sep-09,3rd Base Grill,Danny Cox,,,
0,4-Sep-09,801 Franklin,Live Music,Huntsville,Friday,Live Music
1,5-Sep-09,801 Franklin,Live Music,Huntsville,Saturday,Live Music
7,11-Sep-09,801 Franklin,Live Music,Huntsville,Friday,Live Music
8,12-Sep-09,801 Franklin,Live Music,Huntsville,Saturday,Live Music
14,18-Sep-09,801 Franklin,Live Music,Huntsville,Friday,Live Music
15,19-Sep-09,801 Franklin,Live Music,Huntsville,Saturday,Live Music
21,25-Sep-09,801 Franklin,Live Music,Huntsville,Thursday,Live Music
22,26-Sep-09,801 Franklin,Live Music,Huntsville,Friday,Live Music
-1,3-Sep-09,Bandito Burrito (South Pkwy),Dave Anderson (6-9),Huntsville,Thursday,Live Music
0,4-Sep-09,Bandito Burrito (South Pkwy),Lisa Busler,Huntsville,Friday,Live Music
1,5-Sep-09,Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Saturday,Live Music
2,6-Sep-09,Bandito Burrito (South Pkwy),Live Music,,,
3,7-Sep-09,Bandito Burrito (South Pkwy),Live Music,Huntsville,Monday,Live Music
4,8-Sep-09,Bandito Burrito (South Pkwy),Marge Loveday,Huntsville,Tuesday,Live Music
5,9-Sep-09,Bandito Burrito (South Pkwy),"Microwave Dave, solo (6-9)",Huntsville,Wednesday,Karaoke
6,10-Sep-09,Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Thursday,Live Music
7,11-Sep-09,Bandito Burrito (South Pkwy),Silvestreak,Huntsville,Friday,Live Music
8,12-Sep-09,Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Saturday,Live Music
9,13-Sep-09,Bandito Burrito (South Pkwy),Live Music,,,
10,14-Sep-09,Bandito Burrito (South Pkwy),Live Music,Huntsville,Monday,Live Music
11,15-Sep-09,Bandito Burrito (South Pkwy),Marge (8-12),Huntsville,Tuesday,Live Music
12,16-Sep-09,Bandito Burrito (South Pkwy),"Microwave Dave, solo (6-9)",Huntsville,Wednesday,Karaoke
13,17-Sep-09,Bandito Burrito (South Pkwy),Dave Anderson (6-9),Huntsville,Thursday,Live Music
14,18-Sep-09,Bandito Burrito (South Pkwy),Silverstreak,Huntsville,Friday,Live Music
15,19-Sep-09,Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Saturday,Live Music
16,20-Sep-09,Bandito Burrito (South Pkwy),Live Music,,,
17,21-Sep-09,Bandito Burrito (South Pkwy),Live Music,Huntsville,Monday,Live Music
18,22-Sep-09,Bandito Burrito (South Pkwy),Marge (8-12),Huntsville,Tuesday,Live Music
19,23-Sep-09,Bandito Burrito (South Pkwy),"Microwave Dave, solo (6-9)",Huntsville,Wednesday,Karaoke
20,24-Sep-09,Bandito Burrito (South Pkwy),Dave Anderson (6-9),Huntsville,Thursday,Live Music
21,25-Sep-09,Bandito Burrito (South Pkwy),Shametown,Huntsville,Thursday,Live Music
22,26-Sep-09,Bandito Burrito (South Pkwy),Dave Anderson,Huntsville,Friday,Live Music
-1,3-Sep-09,Benchwarmer,Karaoke,Huntsville,Thursday,Karaoke
0,4-Sep-09,Benchwarmer,Live Music,Huntsville,Friday,Live Music
1,5-Sep-09,Benchwarmer,Live Music,Huntsville,Saturday,Live Music
6,10-Sep-09,Benchwarmer,Karaoke,Huntsville,Thursday,Karaoke
7,11-Sep-09,Benchwarmer,"Hollywood Disaster and The Dirty Swagger",,,
8,12-Sep-09,Benchwarmer,Live Music,Huntsville,Saturday,Live Music
13,17-Sep-09,Benchwarmer,Karaoke,Huntsville,Thursday,Karaoke
20,24-Sep-09,Benchwarmer,Karaoke,Huntsville,Thursday,Karaoke
21,25-Sep-09,Benchwarmer,Live Music,,,
22,26-Sep-09,Benchwarmer,Live Music,,,
1,5-Sep-09,Benchwarmer Too,DJ,Huntsville,Saturday,DJ
8,12-Sep-09,Benchwarmer Too,DJ,Huntsville,Saturday,DJ
15,19-Sep-09,Benchwarmer Too,DJ,Huntsville,Saturday,DJ
22,26-Sep-09,Benchwarmer Too,DJ,Huntsville,Saturday,DJ
0,4-Sep-09,Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Friday,Karaoke
1,5-Sep-09,Billy's Sports Bar (Hazel Green),Ladies Night and Male Review,Hazel Green,Saturday,Karaoke
5,9-Sep-09,Billy's Sports Bar (Hazel Green),Top Tunes Karaoke w/ Brandon (8pm-12),Hazel Green,Wednesday,Karaoke
7,11-Sep-09,Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Friday,Karaoke
8,12-Sep-09,Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Saturday,Karaoke
12,16-Sep-09,Billy's Sports Bar (Hazel Green),Top Tunes Karaoke w/ Brandon (8pm-12),Hazel Green,Wednesday,Karaoke
14,18-Sep-09,Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Friday,Karaoke
15,19-Sep-09,Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Saturday,Karaoke
19,23-Sep-09,Billy's Sports Bar (Hazel Green),Top Tunes Karaoke w/ Brandon (8pm-12),Hazel Green,Wednesday,Karaoke
21,25-Sep-09,Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Friday,Karaoke
22,26-Sep-09,Billy's Sports Bar (Hazel Green),Karaoke w/ Larry (9pm-close),Hazel Green,Saturday,Karaoke
-1,3-Sep-09,Black Water Hattie's,Blues Night w/Shannon Slade Hubbard,,,
0,4-Sep-09,Black Water Hattie's,CO Jones,Huntsville,Friday,Live Music
1,5-Sep-09,Black Water Hattie's,Ricky Carden,Huntsville,Saturday,Live Music
2,6-Sep-09,Black Water Hattie's,Four Door Ramblers,Huntsville,Sunday,Live Music
3,7-Sep-09,Black Water Hattie's,Karaoke w/ Howie,Huntsville,Monday,Live Music
5,9-Sep-09,Black Water Hattie's,Open Mic w/ Opie,Huntsville,Wednesday,Live Music
6,10-Sep-09,Black Water Hattie's,Blues Night w/Shannon Slade Hubbard,,,
7,11-Sep-09,Black Water Hattie's,Lance Alman Smith Band,Huntsville,Friday,Live Music
8,12-Sep-09,Black Water Hattie's,Lance Laird,Huntsville,Saturday,Live Music
9,13-Sep-09,Black Water Hattie's,Black Randall,Huntsville,Sunday,Live Music
10,14-Sep-09,Black Water Hattie's,Karaoke w/ Howie,Huntsville,Monday,Live Music
12,16-Sep-09,Black Water Hattie's,Open Mic w/ Opie,Huntsville,Wednesday,Live Music
13,17-Sep-09,Black Water Hattie's,Blues Night w/Shannon Slade Hubbard,,,
14,18-Sep-09,Black Water Hattie's,Bob Walters Banned,Huntsville,Friday,Live Music
15,19-Sep-09,Black Water Hattie's,Cinder Graham,Huntsville,Saturday,Live Music
16,20-Sep-09,Black Water Hattie's,"Microwave Dave, solo (6-9)",Huntsville,Sunday,Live Music
17,21-Sep-09,Black Water Hattie's,Karaoke w/ Howie,Huntsville,Monday,Live Music
19,23-Sep-09,Black Water Hattie's,Open Mic Night,Huntsville,Wednesday,Live Music
20,24-Sep-09,Black Water Hattie's,Blues Night w/Shannon Slade Hubbard,,,
21,25-Sep-09,Black Water Hattie's,Tin Penny,Huntsville,Friday,Live Music
22,26-Sep-09,Black Water Hattie's,Shannon Slade,Huntsville,Saturday,Live Music
23,27-Sep-09,Black Water Hattie's,Southstreet,Huntsville,Sunday,Live Music
-1,3-Sep-09,Blue Parrot (Guntersville),Live Music,Guntersville,Thursday,Live Music
0,4-Sep-09,Blue Parrot (Guntersville),Still House Hollow,Guntersville,Friday,Live Music
1,5-Sep-09,Blue Parrot (Guntersville),Triple X,Guntersville,Saturday,Live Music
4,8-Sep-09,Blue Parrot (Guntersville),Karaoke w/ Freddie,Guntersville,Tuesday,Live Music
5,9-Sep-09,Blue Parrot (Guntersville),Bike Night with Mike and Cat,Guntersville,Wednesday,Live Music
6,10-Sep-09,Blue Parrot (Guntersville),"Travis and Karlo",Guntersville,Thursday,Live Music
7,11-Sep-09,Blue Parrot (Guntersville),Eric and the Idols,Guntersville,Friday,Live Music
8,12-Sep-09,Blue Parrot (Guntersville),Jason Albert Band,Guntersville,Saturday,Live Music
11,15-Sep-09,Blue Parrot (Guntersville),Karaoke w/ Freddie,Guntersville,Tuesday,Live Music
12,16-Sep-09,Blue Parrot (Guntersville),Steve O,Guntersville,Wednesday,Live Music
13,17-Sep-09,Blue Parrot (Guntersville),Live Music,Guntersville,Thursday,Live Music
14,18-Sep-09,Blue Parrot (Guntersville),Alleyway,Guntersville,Friday,Live Music
15,19-Sep-09,Blue Parrot (Guntersville),Radio Tremmors,Guntersville,Saturday,Live Music
18,22-Sep-09,Blue Parrot (Guntersville),Karaoke w/ Freddie,Guntersville,Tuesday,Live Music
19,23-Sep-09,Blue Parrot (Guntersville),Brad Cornelius,Guntersville,Wednesday,Live Music
20,24-Sep-09,Blue Parrot (Guntersville),Live Music,Guntersville,Sunday,Live Music
21,25-Sep-09,Blue Parrot (Guntersville),Scratch Band,Guntersville,Monday,Live Music
22,26-Sep-09,Blue Parrot (Guntersville),Billy Ryan,Guntersville,Tuesday,Live Music
-1,3-Sep-09,Boondock's (Guntersville),Duane Walker,Guntersville,Thursday,Karaoke
0,4-Sep-09,Boondock's (Guntersville),Jeremy Lesley,Guntersville,Friday,Live Music
1,5-Sep-09,Boondock's (Guntersville),Allied,Guntersville,Saturday,Live Music
3,7-Sep-09,Boondock's (Guntersville),Karaoke,Guntersville,Monday,Karaoke
4,8-Sep-09,Boondock's (Guntersville),Karaoke,Guntersville,Tuesday,Karaoke
5,9-Sep-09,Boondock's (Guntersville),Karaoke,Guntersville,Wednesday,Karaoke
6,10-Sep-09,Boondock's (Guntersville),Ricky Carden,Guntersville,Thursday,Karaoke
7,11-Sep-09,Boondock's (Guntersville),Sons of Sanchez,Guntersville,Friday,Live Music
8,12-Sep-09,Boondock's (Guntersville),5ive O'Clock Charlie,Guntersville,Saturday,Live Music
10,14-Sep-09,Boondock's (Guntersville),Karaoke,Guntersville,Monday,Karaoke
11,15-Sep-09,Boondock's (Guntersville),Karaoke,Guntersville,Tuesday,Karaoke
12,16-Sep-09,Boondock's (Guntersville),Karaoke,Guntersville,Wednesday,Karaoke
13,17-Sep-09,Boondock's (Guntersville),Live Music,Guntersville,Thursday,Karaoke
14,18-Sep-09,Boondock's (Guntersville),Flat Busted Band,Guntersville,Friday,Live Music
15,19-Sep-09,Boondock's (Guntersville),Flat Busted Band,Guntersville,Saturday,Live Music
17,21-Sep-09,Boondock's (Guntersville),Karaoke,Guntersville,Monday,Karaoke
18,22-Sep-09,Boondock's (Guntersville),Karaoke,Guntersville,Tuesday,Karaoke
19,23-Sep-09,Boondock's (Guntersville),Karaoke,Guntersville,Wednesday,Karaoke
20,24-Sep-09,Boondock's (Guntersville),Sons of Sanchez,Guntersville,Thursday,Karaoke
21,25-Sep-09,Boondock's (Guntersville),Ryan and Reno,Guntersville,Friday,Live Music
22,26-Sep-09,Boondock's (Guntersville),Mixed Tape,Guntersville,Saturday,Live Music
5,9-Sep-09,Bridge Street,Accostics on the Patio,Huntsville,Wednesday,Live Music
12,16-Sep-09,Bridge Street,Accostics on the Patio,Huntsville,Wednesday,Live Music
19,23-Sep-09,Bridge Street,Accostics on the Patio,Huntsville,Wednesday,Live Music
0,4-Sep-09,Casa Montego,Reggae & More with DJ Roger,Huntsville,Friday,DJ
2,6-Sep-09,Casa Montego,Live Jazz featuring Devere Pride Trio and Friends (7-10:30),Huntsville,Sunday,Live Music
7,11-Sep-09,Casa Montego,Reggae & More with DJ Roger,Huntsville,Friday,DJ
9,13-Sep-09,Casa Montego,Live Jazz featuring Devere Pride Trio and Friends (7-10:30),Huntsville,Sunday,Live Music
14,18-Sep-09,Casa Montego,Reggae & More with DJ Roger,Huntsville,Friday,DJ
16,20-Sep-09,Casa Montego,Live Jazz featuring Devere Pride Trio and Friends (7-10:30),Huntsville,Sunday,Live Music
21,25-Sep-09,Casa Montego,Reggae & More with DJ Roger,Huntsville,Friday,DJ
23,27-Sep-09,Casa Montego,Live Jazz featuring Devere Pride Trio and Friends (7-10:30),Huntsville,Sunday,Live Music
1,5-Sep-09,Cazadeores,Live Music,Owens Crossroads,Saturday,Live Music
5,9-Sep-09,Cazadeores,Open Mic Hosted by Scott Morgan,Owens Crossroads,Wednesday,Live Music
8,12-Sep-09,Cazadeores,Live Music,Owens Crossroads,Saturday,Live Music
12,16-Sep-09,Cazadeores,Open Mic Hosted by Scott Morgan,Owens Crossroads,Wednesday,Live Music
15,19-Sep-09,Cazadeores,Live Music,Owens Crossroads,Saturday,Live Music
19,23-Sep-09,Cazadeores,Open Mic Hosted by Scott Morgan,Owens Crossroads,Wednesday,Live Music
22,26-Sep-09,Cazadeores,Live Music,Owens Crossroads,Saturday,Live Music
-1,3-Sep-09,Club Ozz,Talent Night w/ DJ Brandon Mac,Huntsville,Thursday,Karaoke
0,4-Sep-09,Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Friday,Karaoke
1,5-Sep-09,Club Ozz,Spikey Dikey and The After Midnights,Huntsville,Saturday,Karaoke
6,10-Sep-09,Club Ozz,Karaoke w/ Brandon,Huntsville,Thursday,Karaoke
7,11-Sep-09,Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Friday,Karaoke
8,12-Sep-09,Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Saturday,Karaoke
13,17-Sep-09,Club Ozz,Talent Night w/ DJ Brandon Mac,Huntsville,Thursday,Karaoke
14,18-Sep-09,Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Friday,Karaoke
15,19-Sep-09,Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Saturday,Karaoke
20,24-Sep-09,Club Ozz,Talent Night w/ DJ Brandon Mac,Huntsville,Thursday,Karaoke
21,25-Sep-09,Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Friday,Karaoke
22,26-Sep-09,Club Ozz,Divas of Illusion w/DJ Kaos,Huntsville,Saturday,Karaoke
0,4-Sep-09,Coffeetree Books & Brew (See ad pg. ),Brandon Watson,Huntsville,Friday,Live Music
1,5-Sep-09,Coffeetree Books & Brew (See ad pg. ),Open Mic Night (7pm),Huntsville,Saturday,Live Music
5,9-Sep-09,Coffeetree Books & Brew (See ad pg. ),Songwriter's Jam (7pm),Huntsville ,Wednesday,Live Music
7,11-Sep-09,Coffeetree Books & Brew (See ad pg. ),Ken Cooper,Huntsville ,Friday,Live Music
8,12-Sep-09,Coffeetree Books & Brew (See ad pg. ),Open Mic Night (7pm),Huntsville,Saturday,Live Music
12,16-Sep-09,Coffeetree Books & Brew (See ad pg. ),Songwriter's Jam (7pm),Huntsville,Wednesday,Live Music
14,18-Sep-09,Coffeetree Books & Brew (See ad pg. ),"Uncle Bethel, Lisa Carr and Doug Bodzak",Huntsville,Friday,Live Music
15,19-Sep-09,Coffeetree Books & Brew (See ad pg. ),Open Mic Night (7pm),Huntsville,Saturday,Live Music
21,25-Sep-09,Coffeetree Books & Brew (See ad pg. ),James Smith the Auto Harp Man,Huntsville,Friday,Live Music
0,4-Sep-09,Coppertop,Live Music,Huntsville,Friday,Karaoke
4,8-Sep-09,Coppertop,HDK Karaoke with Howie,Huntsville,Tuesday,Karaoke
3,11-Sep-09,Coppertop,Live Music,,,
8,15-Sep-09,Coppertop,HDK Karaoke with Howie,Huntsville,Tuesday,Karaoke
13,25-Sep-09,Coopertop,Live Music,,,
15,21-Sep-09,Coppertop,HDK Karaoke with Howie,Huntsville,Tuesday,Karaoke
22,3-Sep-09,Crossroads (See ad pg. ),Live Music,Huntsville,Thursday,Live Music
-1,4-Sep-09,Crossroads (See ad pg. ),Live Music,Huntsville,Friday,Live Music
0,5-Sep-09,Crossroads (See ad pg. ),Live Music,Huntsville,Saturday,Live Music
1,11-Sep-09,Crossroads (See ad pg. ),Abbey Road Live,Huntsville,Thursday,Live Music
7,12-Sep-09,Crossroads (See ad pg. ),Live Music,Huntsville,Wednesday,Live Music
8,17-Sep-09,Crossroads (See ad pg. ),Live Music,,,
13,18-Sep-09,Crossroads (See ad pg. ),Live Music,Huntsville,Friday,Live Music
14,19-Sep-09,Crossroads (See ad pg. ),Live Music,Huntsville,Saturday,Live Music
,20-Sep-09,Crossroads (See ad pg. ),Sarah Bettens (of K's Choice) and Marge Loveday,,,
15,24-Sep-09,Crossroads (See ad pg. ),Live Music,,,
20,25-Sep-09,Crossroads (See ad pg. ),Bishop Black,Huntsville,Friday,Live Music
21,26-Sep-09,Crossroads (See ad pg. ),Live Music,Huntsville,Saturday,Live Music
22,3-Sep-09,El Dorado Mex Grill,Raul Mejia,Huntsville,Thursday,Live Music
-1,4-Sep-09,El Dorado Mex Grill,Raul Mejia,Huntsville,Friday,Live Music
0,10-Sep-09,El Dorado Mex Grill,Raul Mejia,Huntsville,Thursday,Live Music
6,11-Sep-09,El Dorado Mex Grill,Raul Mejia,Huntsville,Friday,Live Music
7,17-Sep-09,El Dorado Mex Grill,Raul Mejia,Huntsville,Thursday,Live Music,
13,18-Sep-09,El Dorado Mex Grill,Raul Mejia,Huntsville,Friday,Live Music,
14,24-Sep-09,El Dorado Mex Grill,Raul Mejia,Huntsville,Thursday,Live Music,
20,25-Sep-09,El Dorado Mex Grill,Raul Mejia,Huntsville,Friday,Live Music,
21,4-Sep-09,El Herradura,Edgar  ,Huntsville,Friday,Live Music,
0,11-Sep-09,El Herradura,Edgar  ,Huntsville,Friday,Live Music,
7,18-Sep-09,El Herradura,Edgar  ,Huntsville,Friday,Live Music,
14,4-Sep-09,El Herradura,Edgar  ,Huntsville,Friday,Live Music,
22,11-Sep-09,Flying Monkey Arts Center,Walker Street Opry,Huntsville ,Saturday,Live Music,
3,12-Sep-09,Flying Monkey Arts Center,Stephaniesid,,,,
12,26-Sep-09,Flying Monkey Arts Center,Ranger Rick and the Western Sizzlers,Huntsville,Monday,Live Music,
20,5-Sep-09,Flying Monkey Arts Center,"Barnstormers (7pm, $5)",Huntsville,Tuesday,Live Music,
20,4-Sep-09,Furniture Factory,Fat Momma,Huntsville,Friday,Live Music, 
0,5-Sep-09,Furniture Factory,Jerry Fordham,Huntsville,Saturday,Live Music,
1,9-Sep-09,Furniture Factory,Sons of Sanchez,Huntsville,Wednesday,Live Music,
5,11-Sep-09,Furniture Factory,Juice ,Huntsville,Friday,Live Music,
7,12-Sep-09,Furniture Factory,Rob Aldridge,Huntsville,Saturday,Live Music
8,16-Sep-09,Furniture Factory,Ezell,,,
12,18-Sep-09,Furniture Factory,Breakers,Huntsville,Friday,Live Music
14,19-Sep-09,Furniture Factory,Rob Aldridge,Huntsville,Saturday,Live Music
15,23-Sep-09,Furniture Factory,Chad Bradford Duo,,,
19,25-Sep-09,Furniture Factory,Live Music,Huntsville,Friday,Live Music
21,26-Sep-09,Furniture Factory,Live Music,Huntsville,Saturday,Live Music
22,4-Sep-09,Geno's Pub (Decatur),Karaoke,Decatur,Friday,Karaoke
0,7-Sep-09,Geno's Pub (Decatur),Karaoke,Decatur,Monday,Karaoke
3,11-Sep-09,Geno's Pub (Decatur),Karaoke,Decatur,Friday,Karaoke
7,14-Sep-09,Geno's Pub (Decatur),Karaoke,Decatur,Monday,Karaoke
10,18-Sep-09,Geno's Pub (Decatur),Karaoke,Decatur,Friday,Karaoke
14,21-Sep-09,Geno's Pub (Decatur),Karaoke,Decatur,Monday,Live Music
17,25-Sep-09,Geno's Pub (Decatur),Karaoke,Decatur,Friday,Karaoke
21,3-Sep-09,Glass's Cocktails and Grill (Decatur),Chad Reeves,Decatur,Thursday,Live Music
-1,4-Sep-09,Glass's Cocktails and Grill (Decatur),Rodeo Truckers,Decatur,Friday,Live Music
0,5-Sep-09,Glass's Cocktails and Grill (Decatur),Stop the Car,Decatur,Saturday,Live Music
1,7-Sep-09,Glass's Cocktails and Grill (Decatur),Karaoke w/DJ Jeff,Decatur,Monday,Karaoke
3,8-Sep-09,Glass's Cocktails and Grill (Decatur),Wild Ride,Decatur,Tuesday,Live Music
4,9-Sep-09,Glass's Cocktails and Grill (Decatur),Karaoke w/Louis,Decatur,Wednesday,Karaoke
5,10-Sep-09,Glass's Cocktails and Grill (Decatur),Chad Reeves,Decatur,Thursday,Live Music
6,11-Sep-09,Glass's Cocktails and Grill (Decatur),Rodeo Truckers,Decatur,Friday,Live Music
7,12-Sep-09,Glass's Cocktails and Grill (Decatur),Two Days Gone,Decatur,Saturday,Live Music
8,14-Sep-09,Glass's Cocktails and Grill (Decatur),Karaoke,Decatur,Monday,Karaoke
10,15-Sep-09,Glass's Cocktails and Grill (Decatur),MayDay,Decatur,Tuesday,Live Music
11,16-Sep-09,Glass's Cocktails and Grill (Decatur),Karaoke,Decatur,Wednesday,Karaoke
12,17-Sep-09,Glass's Cocktails and Grill (Decatur),Chad Reeves,Decatur,Thursday,Live Music
13,18-Sep-09,Glass's Cocktails and Grill (Decatur),Rodeo Truckers,Decatur,Friday,Live Music
14,19-Sep-09,Glass's Cocktails and Grill (Decatur),Stop the Car,Decatur,Saturday,Live Music
15,21-Sep-09,Glass's Cocktails and Grill (Decatur),Karaoke w/DJ Jeff,Decatur,Monday,Karaoke
17,22-Sep-09,Glass's Cocktails and Grill (Decatur),Wild Ride,Decatur,Tuesday,Live Music
18,23-Sep-09,Glass's Cocktails and Grill (Decatur),Karaoke w/Louis,Decatur,Wednesday,Karaoke
19,24-Sep-09,Glass's Cocktails and Grill (Decatur),Chad Reeves,Decatur,Thursday,Live Music
20,25-Sep-09,Glass's Cocktails and Grill (Decatur),Rodeo Truckers,Decatur,Friday,Live Music
21,26-Sep-09,Glass's Cocktails and Grill (Decatur),Two Days Gone,Decatur,Saturday,Live Music
22,3-Sep-09,Halftime Bar and Grill,Karaoke w/ Bryan,Huntsville,Thursday,Karaoke
-1,10-Sep-09,Halftime Bar and Grill,Karaoke w/Bryan,Huntsville,Thursday,Karaoke
6,17-Sep-09,Halftime Bar and Grill,Karaoke w/Bryan,Huntsville,Thursday,Karaoke
13,24-Sep-09,Halftime Bar and Grill,Karaoke w/Bryan,Huntsville,Thursday,Karaoke
20,4-Sep-09,Hard Dock Caf» (Decatur),Kozmic Mama,Decatur,Friday,Live Music
0,5-Sep-09,Hard Dock Caf» (Decatur),Juke,Decatur,Saturday,Live Music
1,11-Sep-09,Hard Dock Caf» (Decatur),Breakers,Decatur,Friday,Live Music
7,12-Sep-09,Hard Dock Caf» (Decatur),Booty Shakers,Decatur,Saturday,Live Music
8,18-Sep-09,Hard Dock Caf» (Decatur),Pla' Station,Decatur,Friday,Live Music
14,19-Sep-09,Hard Dock Caf» (Decatur),Straightforward,Decatur,Saturday,Live Music
15,25-Sep-09,Hard Dock Caf» (Decatur),Fresh,Decatur,Friday,Live Music
21,26-Sep-09,Hard Dock Caf» (Decatur),Live Music,Decatur,Saturday,Live Music
22,3-Sep-09,Hog Wild II,Karaoke w/ David (8pm-1am),Huntsville,Thursday,Live Music
-1,4-Sep-09,Hog Wild II,Bonefied,Huntsville,Friday,Live Music
0,5-Sep-09,Hog Wild II,Bonefied,Huntsville,Saturday,Live Music
1,9-Sep-09,Hog Wild II,Karaoke w/ David (8pm-1am),Huntsville,Wednesday,Live Music
5,11-Sep-09,Hog Wild II,Backwater,Huntsville,Friday,Live Music
7,12-Sep-09,Hog Wild II,Backwater,Huntsville,Saturday,Live Music
8,16-Sep-09,Hog Wild II,Karaoke w/ David (8pm-1am),Huntsville,Friday,Live Music
12,17-Sep-09,Hog Wild II,Karaoke w/ David (8pm-1am),Huntsville,Saturday,Live Music
13,18-Sep-09,Hog Wild II,Calico Crow,Huntsville,Sunday,Live Music
14,19-Sep-09,Hog Wild II,Calico Crow,Huntsville,Monday,Live Music
15,23-Sep-09,Hog Wild II,Karaoke w/ David (8pm-1am),Huntsville,Wednesday,Live Music
19,24-Sep-09,Hog Wild II,Karaoke w/ David (8pm-1am),Huntsville,Thursday,Live Music
20,25-Sep-09,Hog Wild II,Chad Bradford,Huntsville,Friday,Live Music
21,26-Sep-09,Hog Wild II,Chad Bradford,Huntsville,Saturday,Live Music
22,3-Sep-09,Hooters,Bike Night w/ JD and the Bad Boys,Huntsville,Thursday,Live Music
-1,10-Sep-09,Hooters,Bike Night w/ Fat Momma,Huntsville,Thursday,Live Music
6,17-Sep-09,Hooters,Bike Night w/ JD and The Bad Boys Kickin off the Trail of Tears  4 day weekend,Huntsville,Thursday,Live Music
13,24-Sep-09,Hooters,Bike Night w/ Hot Rod Otis,Huntsville,Thursday,Live Music
